DatabazeKnih	Čtvrtá opice	Laaaney	0	2020-08-27 12:45:34.608417	60	Tak na to, jak se kniha vychvaluje,  trochu zklamání, jsou lepší a napínavější knihy...
DatabazeKnih	Spáč	BarBarBar	0	2020-08-27 12:45:34.775521	60	Nebylo to nejhorší.  Mělo to spád a postavy byly fajn.
DatabazeKnih	Spáč	pavlusa025	0	2020-08-26 12:45:34.776508	80	Velice zajímavé čtení. Konec jsem čekala trošku jinak, ale i tak super.
DatabazeKnih	Moře klidu	LadyAdela	0	2020-08-27 12:45:35.219120	100	Skvělá kniha. Doporučuji!
DatabazeKnih	Jan Kraus: Můj soukromý buzynes	tess.de.veles	0	2020-08-27 12:45:35.475552	80	Kraus mě prostě baví... Někdy mi v TV připadá dosti arogantní...., ale po přečtení knížky už to beru jako jeho povahovy rys, a ne jako agresi. Líbí se mi, jak je cinorodý, jak se věcem, které ho zajímají snaží přijít na kloub... Opravdu mě baví..... Možná i motivuje... když mi něco nejde, jako zrovna teď, říkám si, že Kraus by se nevzdal a popral  se s tim....a nepochybuji, že by Vyhrál :-) Knihu doporučuji, hltala jsem ji a smála se při jejím čtení...
DatabazeKnih	Poražení králové	Finn69	0	2020-08-27 12:45:35.685655	100	Závěr Merlinova kodexu vás zavede opět na řadu míst v tomto a jiných světech i časech. V Albě bojuje velekrál Urtha a jeho děti s invazí mrtvých i nezrozených hrdinů. V podzemí se setkáte s Urthovým předkem Durandondem a prožijete s ním dávné stěhování národů na západ až přes moře do tajemné Alby. A v minojské Krétě se setkáte se zakladatelem steampunku Daidalem a jeho úžasnými výtvory ze dřeva, bronzu a mědi. Do toho pokračují příběhy Iásóna, Médey a jejich dětí, vztah Merlina a Niiv a tak dále. Musí se tu toho zkrátka spousta vyřešit a uzavřít, než se Argó zase vydá na cesty a totéž platí o věčném tulákovi Merlinovi.  O téhle trilogii se často říká, že je vhodná především pro fanoušky Holdstocka, čili lidi, kteří ho už mají nějak načteného. Může to být pravda, konečně já rozhodně Holdstockův fanda jsem. Ale myslím, že je to skvělá volba pro každého náročnějšího čtenáře fantasy s nějakým povědomím o historii a (hlavně) řeckých mýtech.
DatabazeKnih	Drak spí	zdehan	0	2020-08-27 12:45:35.952429	100	Vynikající detektivka která se čte jedním dechem vřele doporučuji.
DatabazeKnih	Všechny barvy nebe	Kája95	0	2020-08-27 12:45:36.247460	60	Téma které přitáhne snad každou ženu. Bohužel zpracované až příliš romantický s předvídatelným závěrem.   Styl vyprávění Mukty a Táry se téměř neliší. Kniha plná klišé a stále se opakujících vět.
DatabazeKnih	Aristokratka a vlna zločinnosti na zámku Kostka	dadako	 1 	2020-08-27 12:45:36.740402	100	Aristokratku mám rád. U ní si vždy odpočinu, odreaguju se a příjdu na jiné myšlenky. Několikrát jsem se neubránil smíchu ani ve veřejné dopravě.
DatabazeKnih	Hněv Boží	Schamila	0	2020-08-27 12:45:37.058467	60	Zase vím něco o jiném světě,  ale rozhodně mu nehodlám porozumět, jen věřím,  že svět se drasticky nezmění
DatabazeKnih	Dům na Charles Street	Zelvicka03	0	2020-08-27 12:45:37.316804	80	Kniha se mi líbila, ale nebyla to taková napínavá kniha, jak jsem si představovala.
